                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.22211,                0.30199,                0.78246,                0.90731,                0.87759,                0.95257,                0.91911,                 0.1647,                0.28766,                0.78611,               0.001585,               0.001585,               0.001585
                     88,                0.21961,                0.30156,                0.78209,                0.90966,                0.87651,                0.95263,                 0.9194,                 0.1646,                 0.2875,                0.78609,               0.001486,               0.001486,               0.001486
                     89,                0.21932,                0.29709,                0.78303,                0.91033,                0.87499,                0.95282,                0.91952,                0.16453,                0.28716,                0.78602,               0.001387,               0.001387,               0.001387
                     90,                0.21898,                0.29646,                0.78329,                0.91041,                  0.875,                0.95292,                0.91968,                0.16446,                 0.2867,                0.78601,               0.001288,               0.001288,               0.001288
                     91,                0.21507,                0.29922,                0.78125,                0.91073,                0.87521,                0.95309,                 0.9198,                0.16439,                0.28696,                0.78594,               0.001189,               0.001189,               0.001189
                     92,                0.21126,                0.29396,                0.77996,                0.91096,                 0.8752,                0.95318,                0.91985,                0.16425,                0.28662,                0.78595,                0.00109,                0.00109,                0.00109
                     93,                 0.2074,                0.28883,                0.77809,                0.91184,                0.87626,                0.95318,                0.91969,                0.16415,                0.28631,                  0.786,               0.000991,               0.000991,               0.000991
                     94,                0.20654,                0.28398,                0.78007,                0.91163,                0.87566,                0.95323,                0.91965,                0.16413,                0.28648,                0.78599,               0.000892,               0.000892,               0.000892
                     95,                 0.2047,                0.28411,                0.78013,                0.91309,                0.87494,                0.95323,                0.91983,                0.16405,                0.28615,                0.78599,               0.000793,               0.000793,               0.000793
                     96,                0.20264,                0.27782,                0.77708,                0.91602,                0.87811,                0.95339,                0.91984,                0.16402,                0.28603,                0.78596,               0.000694,               0.000694,               0.000694
                     97,                0.19934,                0.27234,                0.77814,                0.91602,                0.87874,                0.95348,                 0.9202,                0.16404,                0.28561,                0.78598,               0.000595,               0.000595,               0.000595
                     98,                0.19822,                0.26974,                0.77686,                0.91569,                0.87924,                0.95365,                0.92171,                0.16382,                0.28525,                0.78603,               0.000496,               0.000496,               0.000496
                     99,                0.19525,                0.26612,                0.77717,                0.91585,                0.87961,                0.95371,                0.92157,                0.16369,                0.28501,                0.78595,               0.000397,               0.000397,               0.000397
                    100,                0.19404,                0.26623,                0.77676,                0.91505,                0.88059,                0.95381,                0.92187,                0.16346,                 0.2844,                0.78595,               0.000298,               0.000298,               0.000298
